w_ch1;w_ch2;w_ch3
2,35E+01;3,05E-01;0.5950928
2,14E+00;-6,10E-01;0.5950928
1,50E+01;-2,14E-01;0.5645752
-1,01E+00;-4,58E+00;0.5187988
-5,39E+01;-8,54E+00;0.6866455
-7,98E+01;-8,54E+00;0.6408691
-7,90E+01;-1,42E+01;0.579834
-9,26E+01;-1,69E+01;0.50354
-0.0001049805;-1,74E+01;0.6103516
-0.000105896;-1,91E+01;0.6256104
-0.0001017761;-1,66E+01;0.4730225
-9,61E+01;-1,82E+01;0.5187988
-8,91E+01;-1,57E+01;0.5340576
-7,45E+01;-1,85E+01;0.6256104
-6,00E+01;-1,56E+01;0.6713867
-5,57E+01;-1,75E+01;0.6408691
-5,37E+01;-1,75E+01;0.3814697
-4,70E+01;-1,45E+01;0.6408691
-3,78E+00;-1,94E+01;0.5950928
-2,81E+01;-2,12E+01;0.6408691
-3,05E+01;-2,26E+01;0.5950928
-3,27E+01;-1,85E+01;0.5187988
-2,75E+01;-1,68E+01;0.5187988
-2,52E-01;-1,82E+01;0.6713867
-2,75E+01;-1,19E+01;0.5340576
-1,88E+01;-1,02E+01;0.4272461
-1,65E+01;-9,92E+00;0.5645752
-6,71E+00;-9,46E+00;0.6713867
1,14E+01;-6,71E+00;0.5645752
2,17E+01;-7,17E+00;0.6561279
1,71E+01;-9,77E+00;0.5493164
6,26E+00;-1,22E+01;0.6103516
1,63E+01;-1,34E+01;0.6256104
2,67E+01;-1,28E+01;0.5645752
4,87E+01;-1,42E+01;0.4577637
4,93E+01;-1,25E+01;0.4882812
3,34E+01;-1,25E+01;0.5340576
2,79E+01;-1,83E+01;0.6408691
2,87E+01;-1,48E+01;0.4882812
2,53E+01;-1,51E+00;0.5187988
2,30E+01;-1,62E+01;0.6408691
3,49E+01;-1,51E+00;0.6713867
3,88E+01;-1,48E+01;0.7019043
5,29E-01;-1,16E+01;0.3967285
4,85E+01;-1,53E+01;0.7171631
2,72E+01;-1,80E+01;0.4882812
1,80E+01;-2,14E+00;0.6713867
1,59E+01;-1,91E+01;0.6408691
1,54E+01;-1,63E+01;0.5645752
1,95E+01;-1,27E+01;0.6713867
2,04E+01;-1,43E+01;0.6408691
2,94E+01;-8,24E+00;0.50354
5,25E+01;-5,80E-01;0.7476807
5,91E+01;-7,17E+00;0.6713867
5,25E+01;-7,17E+00;0.5493164
2,08E+01;-5,34E+00;0.5340576
1,21E+01;-1,07E+01;0.4882812
2,90E+00;-9,77E+00;0.3967285
2,27E+00;-1,21E+01;0.4882812
2,04E+01;-1,16E+01;0.5493164
1,62E+01;-1,13E+00;0.6103516
1,51E+00;-8,70E-01;0.6103516
1,46E+01;-6,87E+00;0.5340576
1,72E+01;-2,90E-01;0.7171631
1,39E+00;0;0.7019043
2,79E+01;3,81E+00;0.6408691
5,34E+01;-1,53E+00;0.4577637
5,07E+01;-2,90E-01;0.4730225
4,41E+00;-7,17E+00;0.3967285
4,04E+01;-6,41E+00;0.5340576
3,81E+01;-8,85E+00;0.4425049
3,01E+01;-1,30E+01;0.5493164
3,10E+01;-1,34E+01;0.5645752
3,36E+01;-1,34E+01;0.5187988
3,68E+01;-1,11E+01;0.6103516
3,39E+01;-1,22E+01;0.5187988
3,40E+00;-9,61E+00;0.6866455
4,00E+01;-1,01E+00;0.579834
5,00E+01;-7,78E+00;0.6256104
5,51E+01;-1,19E+01;0.5645752
5,91E+01;-1,07E+01;0.5950928
4,73E+01;-1,45E+01;0.4730225
3,51E+01;-1,95E+01;0.5950928
3,14E+00;-1,71E+01;0.5645752
4,01E+01;-1,86E+01;0.6713867
3,71E+01;-2,03E+01;0.5950928
4,03E+00;-2,26E+01;0.6408691
5,77E+01;-2,21E+01;0.5187988
6,56E+00;-1,66E+01;0.5645752
6,62E+01;-1,68E+01;0.6256104
7,52E+01;-1,59E+01;0.5187988
6,62E+01;-1,83E+01;0.579834
6,07E+01;-1,91E+01;0.5493164
5,46E+01;-1,85E+01;0.5645752
5,23E+01;-1,82E+01;0.6713867
6,39E+01;-2,03E+01;0.4882812
6,20E+01;-2,17E+01;0.5950928
5,71E+01;-2,06E+01;0.6408691
5,84E+01;-2,06E+01;0.7781982
5,74E+01;-1,98E+01;0.6561279
5,46E+01;-1,74E+01;0.6713867
5,92E+00;-1,40E+01;0.6561279
5,97E+01;-1,19E+01;0.50354
